,Player,First year,Last year,Position,Height,Weight,Birth Date,College,id
3589,Otto Schnellbacher,1949,1949,F-G,6-4,185,"April 15, 1923",University of Kansas,schneot01
3590,Dick Schnittker,1951,1958,F,6-5,200,"May 27, 1928",Ohio State University,schnidi01
3591,Russ Schoene,1983,1989,F-C,6-10,210,"April 16, 1960",University of Tennessee at Chattanooga,schoeru01
3592,Dave Scholz,1970,1970,F,6-8,220,"April 12, 1948",University of Illinois at Urbana-Champaign,scholda01
3593,Milt Schoon,1947,1950,C,6-7,230,"February 25, 1922",Valparaiso University,schoomi01
3594,Detlef Schrempf,1986,2001,F-C,6-9,214,"January 21, 1963",University of Washington,schrede01
3595,Dennis Schroder,2014,2018,G,6-1,172,"September 15, 1993",,schrode01
3596,Howie Schultz,1950,1953,C-F,6-6,200,"July 3, 1922",Hamline University,schulho01
3597,Dick Schulz,1947,1950,F-G,6-2,192,"January 3, 1917",University of Wisconsin,schuldi01
3598,Roger Schurig,1968,1968,G,6-3,185,"April 3, 1942",Vanderbilt University,schurro01
3599,John Schweitz,1985,1987,G,6-6,210,"April 19, 1960",University of Richmond,schwejo01
3600,Luis Scola,2008,2017,F,6-9,240,"April 30, 1980",,scolalu01
3601,Fred Scolari,1947,1955,G,5-10,180,"March 1, 1922",University of San Francisco,scolafr01
3602,Alvin Scott,1978,1985,F-G,6-7,185,"September 14, 1955",Oral Roberts University,scottal01
3603,Brent Scott,1997,1997,F-C,6-10,250,"June 15, 1971",Rice University,scottbr01
3604,Byron Scott,1984,1997,G,6-3,195,"March 28, 1961",Arizona State University,scottby01
3605,Charlie Scott,1971,1980,G-F,6-5,175,"December 15, 1948",University of North Carolina,scottch01
3606,Dennis Scott,1991,2000,F,6-8,229,"September 5, 1968",Georgia Institute of Technology,scottde01
3607,James Scott,1997,1997,F,6-6,180,"June 6, 1972",St. John's University,scottja01
3608,Mike Scott,2013,2018,F,6-8,237,"July 16, 1988",University of Virginia,scottmi01
3609,Ray Scott,1962,1972,F-C,6-9,215,"July 12, 1938",University of Portland,scottra01
3610,Shawnelle Scott,1997,2002,C,6-10,250,"June 16, 1972",St. John's University,scottsh01
3611,Willie Scott,1970,1970,F,6-5,210,"May 22, 1947",Alabama State University,scottwi01
3612,Paul Scranton,1968,1968,F,6-5,230,"April 30, 1944","California State Polytechnic University, Pomona",scranpa01
3613,Carey Scurry,1986,1988,F,6-7,188,"December 4, 1962",Long Island University,scurrca01
3614,Bruce Seals,1974,1978,F,6-8,210,"June 18, 1953",Xavier University of Louisiana,sealsbr01
3615,Shea Seals,1998,1998,G,6-5,210,"August 26, 1975",University of Tulsa,sealssh01
3616,Malik Sealy,1993,2000,G,6-8,190,"February 1, 1970",St. John's University,sealyma01
3617,Ed Searcy,1976,1976,F,6-6,210,"April 17, 1952",St. John's University,searced01
3618,Kenny Sears,1956,1964,F,6-9,198,"August 17, 1933",Santa Clara University,searske01
3619,Wayne See,1950,1950,G,6-3,190,"November 3, 1923",Northern Arizona University,seewa01
3620,Thabo Sefolosha,2007,2018,G-F,6-7,220,"May 2, 1984",,sefolth01
3621,Rony Seikaly,1989,1999,C,6-11,230,"May 10, 1965",Syracuse University,seikaro01
3622,Glen Selbo,1950,1950,G-F,6-3,196,"March 29, 1926",University of Wisconsin,selbogl01
3623,Josh Selby,2012,2013,G,6-2,183,"March 27, 1991",University of Kansas,selbyjo01
3624,Wayne Selden,2017,2018,G-F,6-5,230,"September 30, 1994",University of Kansas,seldewa01
3625,Brad Sellers,1987,1993,C-F,7-0,210,"December 17, 1962",Ohio State University,sellebr01
3626,Phil Sellers,1977,1977,F-G,6-4,195,"November 20, 1953",Rutgers University,selleph01
3627,Rollie Seltz,1950,1950,G-F,5-10,165,"January 25, 1924",Hamline University,seltzro01
3628,Lester Selvage,1968,1970,G,6-1,175,"March 7, 1943",Truman State University,selvale01
3629,Frank Selvy,1955,1964,G-F,6-3,180,"November 9, 1932",Furman University,selvyfr01
3630,Jim Seminoff,1947,1950,G-F,6-2,190,"September 1, 1922",University of Southern California,seminji01
3631,Mouhamed Sene,2007,2009,C-F,6-11,230,"May 12, 1986",,senesa01
3632,George Senesky,1947,1954,G,6-2,179,"April 4, 1922",Saint Joseph's University,senesge01
3633,Kevin Seraphin,2011,2017,F,6-9,285,"December 7, 1989",,serapke01
3634,Ansu Sesay,2002,2005,F,6-9,225,"July 29, 1976",University of Mississippi,sesayan01
3635,Ramon Sessions,2008,2018,G,6-3,190,"April 11, 1986","University of Nevada, Reno",sessira01
3636,Ha Seung-Jin,2005,2006,C,7-3,305,"August 4, 1985",,seungha01
3637,Tom Sewell,1985,1985,G,6-5,185,"March 11, 1962",Lamar University,sewelto01
3638,Paul Seymour,1948,1960,G-F,6-1,180,"January 30, 1928",University of Toledo,seymopa01
3639,Nick Shaback,1947,1947,G,5-11,180,"September 10, 1918",,shabani01
3640,Lynn Shackelford,1970,1970,F,6-5,190,"August 27, 1947","University of California, Los Angeles",shackly01
3641,Charles Shackleford,1989,1999,F-C,6-10,225,"April 22, 1966",North Carolina State University,shackch01
3642,Carl Shaeffer,1950,1951,F-G,6-3,185,"October 25, 1924",University of Alabama,shaefca01
3643,Lee Shaffer,1962,1964,F,6-7,220,"February 23, 1939",University of North Carolina,shaffle01
3644,Mustafa Shakur,2011,2014,G,6-3,190,"August 18, 1984",University of Arizona,shakumu01
3645,God Shammgod,1998,1998,G,6-0,169,"April 29, 1976",Providence College,shammgo01
3646,Earl Shannon,1947,1949,G-F,5-11,170,"November 23, 1921",University of Rhode Island,shannea01
3647,Howie Shannon,1949,1950,G-F,6-2,175,"June 10, 1923",Kansas State University,shannho01
3648,Chuck Share,1952,1960,C,6-11,235,"March 14, 1927",Bowling Green State University,sharech01
3649,Bill Sharman,1951,1961,G,6-1,175,"May 25, 1926",University of Southern California,sharmbi01
3650,Walter Sharpe,2009,2009,F,6-9,245,"July 18, 1986",University of Alabama at Birmingham,sharpwa01
3651,John Shasky,1989,1991,C,6-11,235,"July 31, 1964",University of Minnesota,shaskjo01
3652,Ron Shavlik,1957,1958,F,6-8,200,"December 4, 1933",North Carolina State University,shavlro01
3653,Brian Shaw,1989,2003,G,6-6,190,"March 22, 1966","University of California, Santa Barbara",shawbr01
3654,Casey Shaw,1999,1999,C,6-11,260,"July 20, 1975",University of Toledo,shawca01
3655,Bob Shea,1947,1947,F,6-2,194,"September 11, 1924",University of Rhode Island,sheabo01
3656,Fred Sheffield,1947,1947,F,6-2,165,"November 5, 1923",University of Utah,shefffr01
3657,Craig Shelton,1981,1982,F,6-7,210,"May 1, 1957",Georgetown University,sheltcr01
3658,Lonnie Shelton,1977,1986,F-C,6-8,240,"October 19, 1955",Oregon State University,sheltlo01
3659,Tornike Shengelia,2013,2014,F,6-9,217,"October 5, 1991",,shengto01
3660,Billy Shepherd,1973,1975,G,5-10,160,"November 18, 1949",Butler University,shephbi01
3661,Jeffrey Sheppard,1999,1999,G,6-3,190,"September 29, 1974",University of Kentucky,sheppje01
3662,Steve Sheppard,1978,1979,F,6-6,215,"March 21, 1954",University of Maryland,sheppst01
3663,Ed Sherod,1983,1983,G,6-2,170,"September 13, 1959",Virginia Commonwealth University,sheroed01
3664,Charley Shipp,1950,1950,G-F,6-1,200,"December 3, 1913",Catholic University of America,shippch01
3665,Paul Shirley,2003,2005,F-C,6-10,230,"December 23, 1977",Iowa State University,shirlpa01
3666,Gene Short,1976,1976,F,6-6,200,"August 7, 1953",Jackson State University,shortge01
3667,Purvis Short,1979,1990,F-G,6-7,210,"July 2, 1957",Jackson State University,shortpu01
3668,Dexter Shouse,1990,1990,G,6-2,200,"March 24, 1963",University of South Alabama,shousde01
3669,Dick Shrider,1949,1949,G,6-2,190,"February 7, 1923",Ohio University,shriddi01
3670,Gene Shue,1955,1964,G,6-2,170,"December 18, 1931",University of Maryland,shuege01
3671,John Shumate,1976,1981,F-C,6-9,235,"April 6, 1952",University of Notre Dame,shumajo01
3672,Iman Shumpert,2012,2018,G,6-5,220,"June 26, 1990",Georgia Institute of Technology,shumpim01
3673,Alexey Shved,2013,2015,G,6-6,190,"December 16, 1988",,shvedal01
3674,Pascal Siakam,2017,2018,F,6-9,230,"February 4, 1994",New Mexico State University,siakapa01
3675,Sam Sibert,1973,1973,F,6-7,215,"February 11, 1949",Kentucky State University,sibersa01
3676,Mark Sibley,1974,1974,G,6-2,175,"November 13, 1950",Northwestern University,siblema01
3677,Jerry Sichting,1981,1990,G,6-1,168,"November 29, 1956",Purdue University,sichtje01
3678,Donald Sidle,1969,1972,F-C,6-8,215,"June 21, 1946",University of Oklahoma,sidledo01
3679,Larry Siegfried,1964,1972,F,6-3,190,"May 22, 1939",Ohio State University,siegfla01
3680,Ralph Siewert,1947,1947,C,7-1,230,"December 31, 1923",Dakota Wesleyan University,siewera01
3681,Jack Sikma,1978,1991,C-F,6-11,230,"November 14, 1955",Illinois Wesleyan University,sikmaja01
3682,James Silas,1973,1982,G,6-1,180,"February 11, 1949",Stephen F. Austin State University,silasja01
3683,Paul Silas,1965,1980,F-C,6-7,220,"July 12, 1943",Creighton University,silaspa01
3684,Xavier Silas,2012,2012,G,6-5,205,"January 22, 1988",Northern Illinois University,silasxa01
3685,Garret Siler,2011,2011,C,6-11,305,"October 25, 1986",Augusta State University,silerga01
3686,Mike Silliman,1971,1971,F,6-6,225,"May 5, 1944",United States Military Academy,sillimi01
3687,Wayne Simien,2006,2007,F,6-9,255,"March 9, 1983",University of Kansas,simiewa01
3688,Ben Simmons,2018,2018,G-F,6-10,230,"July 20, 1996",Louisiana State University,simmobe01
3689,Bobby Simmons,2002,2012,G-F,6-7,210,"June 2, 1980",DePaul University,simmobo01
3690,Cedric Simmons,2007,2009,F,6-9,235,"January 3, 1986",North Carolina State University,simmoce01
3691,Connie Simmons,1947,1956,C-F,6-8,222,"March 15, 1925",,simmoco01
3692,Grant Simmons,1968,1969,G,6-3,190,"March 7, 1943",University of Nebraska,simmogr01
3693,Johnny Simmons,1947,1947,G,6-1,184,"July 7, 1924",New York University,simmojo01
3694,Jonathon Simmons,2016,2018,G-F,6-6,195,"September 14, 1989",University of Houston,simmojo02
3695,Kobi Simmons,2018,2018,G,6-5,166,"July 4, 1997",University of Arizona,simmoko01
3696,Lionel Simmons,1991,1997,F,6-7,210,"November 14, 1968",La Salle University,simmoli01
3697,Miles Simon,1999,1999,G,6-3,202,"November 21, 1975",University of Arizona,simonmi01
3698,Walter Simon,1968,1974,F-G,6-6,200,"December 1, 1939",Benedict College,simonwa01
3699,Dickey Simpkins,1995,2002,F,6-9,248,"April 6, 1972",Providence College,simpkdi01
3700,Ralph Simpson,1971,1980,G-F,6-5,200,"August 10, 1949",Michigan State University,simpsra01
3701,Alvin Sims,1999,1999,G,6-4,235,"October 18, 1974",University of Louisville,simsal01
3702,Bob Sims,1962,1968,G-F,6-5,220,"October 9, 1938",Pepperdine University,simsbo01
3703,Courtney Sims,2008,2009,C,6-10,245,"October 21, 1983",University of Michigan,simsco01
3704,Doug Sims,1969,1969,F,6-7,195,"June 29, 1943",Kent State University,simsdo01
3705,Henry Sims,2013,2016,C,6-10,248,"March 27, 1990",Georgetown University,simshe01
3706,Scott Sims,1978,1978,G,6-1,170,"April 18, 1955",University of Missouri,simssc01
3707,Kyle Singler,2013,2018,F,6-8,228,"May 4, 1988",Duke University,singlky01
3708,Sean Singletary,2009,2009,G,6-0,185,"September 6, 1985",University of Virginia,singlse01
3709,Chris Singleton,2012,2014,F,6-8,230,"November 21, 1989",Florida State University,singlch01
3710,James Singleton,2006,2012,F,6-8,216,"July 20, 1981",Murray State University,singlja01
3711,McKinley Singleton,1987,1987,G,6-5,175,"October 29, 1961",University of Alabama at Birmingham,singlmc01
3712,Zeke Sinicola,1952,1954,G,5-10,165,"January 25, 1929",Niagara University,sinicze01
3713,Charlie Sitton,1985,1985,F,6-8,210,"July 3, 1962",Oregon State University,sittoch01
3714,Peyton Siva,2014,2014,G,6-0,185,"October 24, 1990",University of Louisville,sivape01
3715,Scott Skiles,1987,1996,G,6-1,180,"March 5, 1964",Michigan State University,skilesc01
3716,Al Skinner,1975,1980,G,6-3,190,"June 16, 1952",University of Massachusetts Amherst,skinnal01
3717,Brian Skinner,1999,2012,F,6-9,255,"May 19, 1976",Baylor University,skinnbr01
3718,Tal Skinner,1975,1976,F-G,6-5,195,"September 10, 1952",University of Maryland Eastern Shore,skinnta01
3719,Whitey Skoog,1952,1957,G,5-11,180,"November 2, 1926",University of Minnesota,skoogwh01
3720,Jeff Slade,1963,1963,F,6-6,220,"March 1, 1941",Kenyon College,sladeje01
3721,Reggie Slater,1995,2003,F,6-7,215,"August 27, 1970",University of Wyoming,slatere01
3722,Jim Slaughter,1952,1952,C,6-11,210,"May 13, 1928",University of South Carolina,slaugji01
3723,Jose Slaughter,1983,1983,G,6-5,205,"September 9, 1960",University of Portland,slaugjo01
3724,Tamar Slay,2003,2005,G,6-8,215,"April 2, 1980",Marshall University,slayta01
3725,Donald Sloan,2012,2016,G,6-3,205,"January 15, 1988",Texas A&M University,sloando01
3726,Jerry Sloan,1966,1976,G-F,6-5,195,"March 28, 1942",University of Evansville,sloanje01
3727,Uros Slokar,2007,2007,F,6-10,238,"May 14, 1983",,slokaur01
3728,Tom Sluby,1985,1985,G,6-4,200,"February 18, 1962",University of Notre Dame,slubyto01
3729,Keith Smart,1989,1989,G,6-1,175,"September 21, 1964",Indiana University,smartke01
3730,Marcus Smart,2015,2018,G,6-4,220,"March 6, 1994",Oklahoma State University,smartma01
3731,Belus Smawley,1947,1952,G-F,6-1,195,"March 20, 1918",Appalachian State University,smawlbe01
3732,Jack Smiley,1949,1950,F-G,6-3,190,"December 22, 1922",University of Illinois at Urbana-Champaign,smileja01
3733,Adrian Smith,1962,1972,G,6-1,180,"October 5, 1936",University of Kentucky,smithad01
3734,Al Smith,1972,1976,G,6-1,185,"January 15, 1947",Bradley University,smithal01
3735,Bill Smith,1962,1962,G-F,6-5,190,"April 26, 1939",Saint Peter's College,smithbi01
3736,Bingo Smith,1970,1980,F-G,6-5,195,"February 26, 1946",University of Tulsa,smithbi02
3737,Bobby Smith,1960,1962,G,6-4,190,"August 20, 1937",West Virginia University,smithbo01
3738,Charles Smith,1989,1997,F-C,6-10,230,"July 16, 1965",University of Pittsburgh,smithch01
3739,Charles Smith,1990,1996,G,6-1,160,"November 29, 1967",Georgetown University,smithch02
3740,Charles Smith,1998,2006,G,6-4,194,"August 22, 1975",University of New Mexico,smithch04
3741,Chris Smith,1993,1995,G,6-3,190,"May 17, 1970",University of Connecticut,smithch03
3742,Chris Smith,2014,2014,G,6-2,200,"October 13, 1987",University of Louisville,smithch05
3743,Clinton Smith,1987,1991,F,6-6,210,"January 19, 1964",Cleveland State University,smithcl01
3744,Craig Smith,2007,2012,F,6-7,250,"November 10, 1983",Boston College,smithcr01
3745,Deb Smith,1947,1947,F,6-3,180,"January 7, 1920",University of Utah,smithde01
3746,Dennis Smith,2018,2018,G,6-3,195,"November 25, 1997",North Carolina State University,smithde03
3747,Derek Smith,1983,1991,G-F,6-6,205,"November 1, 1961",University of Louisville,smithde02
3748,Don Smith,1949,1949,G-F,6-2,190,"July 27, 1920",University of Minnesota,smithdo01
3749,Don Smith,1975,1975,G,6-0,160,"October 10, 1951",University of Dayton,smithdo02
3750,Donta Smith,2005,2006,G-F,6-7,215,"November 27, 1983",Southeastern Illinois College,smithdo04
3751,Doug Smith,1992,1996,F,6-10,220,"September 17, 1969",University of Missouri,smithdo03
3752,Ed Smith,1954,1954,F,6-6,180,"July 5, 1929",Harvard University,smithed01
3753,Elmore Smith,1972,1979,C,7-0,250,"May 9, 1949",Kentucky State University,smithel01
3754,Garfield Smith,1971,1973,C-F,6-9,235,"November 18, 1945",Eastern Kentucky University,smithga01
3755,Greg Smith,1969,1976,F,6-5,195,"January 28, 1947",Western Kentucky University,smithgr01
3756,Greg Smith,2012,2016,C,6-10,250,"January 8, 1991","California State University, Fresno",smithgr02
3757,Ish Smith,2011,2018,G,6-0,175,"July 5, 1988",Wake Forest University,smithis01
3758,J.R. Smith,2005,2018,G-F,6-6,225,"September 9, 1985",,smithjr01
3759,Jabari Smith,2001,2005,C,6-11,250,"February 12, 1977",Louisiana State University,smithja01
3760,Jason Smith,2008,2018,F-C,7-0,245,"March 2, 1986",Colorado State University,smithja02
3761,Jerry Smith,2012,2012,G,6-2,190,"September 26, 1987",University of Louisville,smithje01
3762,Jim Smith,1982,1983,F,6-9,225,"April 12, 1958",Ohio State University,smithji01
3763,Joe Smith,1996,2011,F,6-10,225,"July 26, 1975",University of Maryland,smithjo02
3764,John Smith,1969,1970,C,7-0,235,"May 24, 1944",University of Southern Colorado,smithjo01
3765,Josh Smith,2005,2018,F,6-9,225,"December 5, 1985",,smithjo03
3766,Keith Smith,1987,1987,G,6-3,180,"March 9, 1964",Loyola Marymount University,smithke03
3767,Ken Smith,1976,1976,F,6-7,185,"July 12, 1953",University of Tulsa,smithke02
3768,Kenny Smith,1988,1997,G,6-3,170,"March 8, 1965",University of North Carolina,smithke01
3769,LaBradford Smith,1992,1994,G,6-3,200,"April 3, 1969",University of Louisville,smithla02
3770,Larry Smith,1981,1993,F-C,6-8,215,"January 18, 1958",Alcorn State University,smithla01
3771,Leon Smith,2002,2004,C,6-10,235,"November 2, 1980",,smithle01
3772,Michael Smith,1990,1995,F,6-10,225,"May 19, 1965",Brigham Young University,smithmi01
3773,Michael Smith,1995,2001,F,6-8,230,"March 28, 1972",Providence College,smithmi02
3774,Mike Smith,2001,2001,F,6-8,195,"April 15, 1976",University of Louisiana at Monroe,smithmi03
3775,Nolan Smith,2012,2013,G,6-2,185,"July 25, 1988",Duke University,smithno01
3776,Otis Smith,1987,1992,G-F,6-5,210,"January 30, 1964",Jacksonville University,smithot01
3777,Pete Smith,1973,1973,F,6-6,205,,Valdosta State University,smithpe01
3778,Phil Smith,1975,1983,G,6-4,185,"April 22, 1952",University of San Francisco,smithph01
3779,Randy Smith,1972,1983,G-F,6-3,180,"December 12, 1948",State University of New York College at Buffalo,smithra01
3780,Reggie Smith,1993,1994,C,6-10,240,"August 21, 1970",Texas Christian University,smithre01
3781,Robert Smith,1978,1985,G,5-11,165,"March 10, 1955","University of Nevada, Las Vegas",smithro01
3782,Russ Smith,2015,2016,G,6-0,165,"April 19, 1991",University of Louisville,smithru01
3783,Sam Smith,1968,1971,F,6-7,230,"January 27, 1944",Kentucky Wesleyan College,smithsa01
3784,Sam Smith,1979,1980,G,6-4,200,"January 8, 1955","University of Nevada, Las Vegas",smithsa02
3785,Steve Smith,1992,2005,G,6-7,200,"March 31, 1969",Michigan State University,smithst01
3786,Steven Smith,2007,2007,F,6-8,235,"April 12, 1983",La Salle University,smithst03
3787,Stevin Smith,1997,1997,G,6-2,208,"January 24, 1972",Arizona State University,smithst02
3788,Theron Smith,2004,2005,F,6-8,225,"October 3, 1980",Ball State University,smithth01
3789,Tony Smith,1991,2001,G,6-3,185,"June 14, 1968",Marquette University,smithto02
3790,William Smith,1972,1973,C,7-0,220,"February 14, 1949",Syracuse University,smithwi01
3791,Willie Smith,1977,1980,G,6-2,170,"October 26, 1953",University of Missouri,smithwi02
3792,Rik Smits,1989,2000,C,7-4,250,"August 23, 1966",Marist College,smitsri01
3793,Mike Smrek,1986,1992,C,7-0,250,"August 31, 1962",Canisius College,smrekmi01
3794,Joe Smyth,1954,1954,F,6-3,215,"May 22, 1929",Niagara University,smythjo01
3795,Tony Snell,2014,2018,G-F,6-7,200,"November 10, 1991",University of New Mexico,snellto01
3796,Eric Snow,1996,2008,G,6-3,190,"April 24, 1973",Michigan State University,snower01
3797,Dick Snyder,1967,1979,G-F,6-5,207,"February 1, 1944",Davidson College,snydedi01
3798,Kirk Snyder,2005,2008,G,6-6,225,"June 5, 1983","University of Nevada, Reno",snydeki01
3799,Chips Sobek,1950,1950,G-F,6-0,180,"February 10, 1920",University of Notre Dame,sobekch01
3800,Ricky Sobers,1976,1986,G,6-3,198,"January 15, 1953","University of Nevada, Las Vegas",soberri01
3801,Ron Sobie,1957,1960,G,6-3,185,"September 21, 1934",DePaul University,sobiero01
3802,Mike Sojourner,1975,1977,C-F,6-9,225,"October 16, 1953",University of Utah,sojoumi01
3803,Willie Sojourner,1972,1975,C-F,6-8,225,"September 10, 1948",Weber State University,sojouwi01
3804,Will Solomon,2002,2009,G,6-1,185,"July 20, 1978",Clemson University,solomwi01
3805,Willie Somerset,1966,1969,G,5-8,170,"March 17, 1942",Duquesne University,somerwi01
3806,Darius Songaila,2004,2011,F,6-9,248,"February 14, 1978",Wake Forest University,songada01
3807,Dave Sorenson,1971,1973,F,6-8,225,"July 8, 1948",Ohio State University,sorenda01
3808,James Southerland,2014,2014,F,6-8,215,"April 28, 1990",Syracuse University,southja01
3809,Gino Sovran,1947,1947,F-G,6-2,175,"December 17, 1924",University of Detroit Mercy,sovragi01
3810,Pape Sow,2005,2007,F,6-10,250,"November 22, 1981","California State University, Fullerton",sowpa01
3811,Ken Spain,1971,1971,C,6-9,225,"October 6, 1946",University of Houston,spainke01
3812,Jim Spanarkel,1980,1984,G-F,6-5,190,"June 28, 1957",Duke University,spanaji01
3813,Vassilis Spanoulis,2007,2007,G,6-4,195,"August 7, 1982",,spanova01
3814,Daniel Sparks,1969,1970,F,6-8,200,"April 17, 1945",Weber State University,sparkda01
3815,Guy Sparrow,1958,1960,F,6-6,218,"November 2, 1932",University of Detroit Mercy,sparrgu01
3816,Rory Sparrow,1981,1992,G,6-2,175,"June 12, 1958",Villanova University,sparrro01
3817,Odie Spears,1949,1957,G,6-5,205,"June 17, 1924",Western Kentucky University,spearod01
3818,Art Spector,1947,1950,F,6-4,200,"October 17, 1920",Villanova University,spectar01
3819,Marreese Speights,2009,2018,C-F,6-10,255,"August 4, 1987",University of Florida,speigma01
3820,Andre Spencer,1993,1994,F,6-6,210,"July 20, 1964",Northern Arizona University,spencan01
3821,Elmore Spencer,1993,1997,C,7-0,270,"December 6, 1969","University of Nevada, Las Vegas",spencel01
3822,Felton Spencer,1991,2002,C,7-0,265,"January 15, 1968",University of Louisville,spencfe01
3823,Lou Spicer,1947,1947,F,6-2,195,"November 12, 1922",Syracuse University,spicelo01
3824,Craig Spitzer,1968,1968,C,7-0,225,"December 18, 1945",Tulane University,spitzcr01
3825,Tiago Splitter,2011,2017,F-C,6-11,245,"January 1, 1985",,splitti01
3826,Art Spoelstra,1955,1958,C,6-9,220,"September 11, 1932",Western Kentucky University,spoelar01
3827,Bruce Spraggins,1968,1968,F,6-5,188,,Virginia Union University,spragbr01
3828,Latrell Sprewell,1993,2005,G,6-5,190,"September 8, 1970",University of Alabama,sprewla01
3829,Larry Spriggs,1982,1986,F,6-7,230,"September 8, 1959",Howard University,sprigla01
3830,Jim Springer,1949,1949,C,6-9,235,"June 17, 1926",,sprinji01
3831,Jim Spruill,1949,1949,G,6-2,225,"February 26, 1923",Rice University,spruiji01
3832,Ryan Stack,1999,2000,F,6-11,215,"July 24, 1975",University of South Carolina,stackry01
3833,Jerry Stackhouse,1996,2013,G-F,6-6,218,"November 5, 1974",University of North Carolina,stackje01
3834,Kevin Stacom,1975,1982,G,6-3,185,"September 4, 1951",Providence College,stacoke01
3835,Erv Staggs,1970,1970,F-G,6-6,195,,Cheyney University of Pennsylvania,stagger01
3836,Bud Stallworth,1973,1977,F-G,6-5,190,"January 18, 1950",University of Kansas,stallbu01
3837,Dave Stallworth,1966,1975,F-C,6-7,200,"December 20, 1941",Wichita State University,stallda01
3838,Ed Stanczak,1950,1951,F,6-1,185,"August 15, 1921",,stanced01
3839,Terence Stansbury,1985,1987,G,6-5,170,"February 27, 1961",Temple University,stanste01
3840,John Starks,1989,2002,G,6-3,180,"August 10, 1965",Oklahoma State University,starkjo01
3841,Keith Starr,1977,1977,G-F,6-6,190,"March 14, 1954",University of Pittsburgh,starrke01
3842,Nik Stauskas,2015,2018,G,6-6,205,"October 7, 1993",University of Michigan,stausni01
3843,Larry Staverman,1959,1964,F,6-7,205,"October 11, 1936",Thomas More College,stavela01
3844,Larry Steele,1972,1980,G-F,6-5,180,"May 5, 1949",University of Kentucky,steella01
3845,Matt Steigenga,1997,1997,F,6-7,225,"March 27, 1970",Michigan State University,steigma01
3846,Vladimir Stepania,1999,2004,C,7-0,236,"May 8, 1976",,stepavl01
3847,D.J. Stephens,2014,2014,G-F,6-5,188,"December 19, 1990",University of Memphis,stephdj01
3848,Everette Stephens,1989,1991,G,6-2,175,"October 21, 1966",Purdue University,stephev01
3849,Jack Stephens,1956,1956,G-F,6-3,185,"May 18, 1933",University of Notre Dame,stephja01
3850,Joe Stephens,1997,2000,F,6-7,210,"January 28, 1973",University of Arkansas at Little Rock,stephjo01
3851,Lance Stephenson,2011,2018,G-F,6-5,230,"September 5, 1990",University of Cincinnati,stephla01
3852,Alex Stepheson,2016,2016,F,6-10,270,"August 7, 1987",University of Southern California,stephal01
3853,Brook Steppe,1983,1989,G-F,6-5,195,"November 7, 1959",Georgia Institute of Technology,steppbr01
3854,Barry Stevens,1993,1993,G-F,6-5,195,"January 17, 1963",Iowa State University,steveba01
3855,Wayne Stevens,1960,1960,F,6-3,185,"June 19, 1936",University of Cincinnati,stevewa01
3856,DeShawn Stevenson,2001,2013,G,6-5,210,"April 3, 1981",,stevede01
3857,Dennis Stewart,1971,1971,F,6-6,220,"April 11, 1947",University of Michigan,stewade01
3858,Kebu Stewart,1998,1998,F,6-8,239,"December 19, 1973","California State University, Bakersfield",stewake01
3859,Larry Stewart,1992,1997,F,6-8,220,"September 21, 1968",Coppin State University,stewala01
3860,Michael Stewart,1998,2005,C,6-10,230,"April 25, 1975",University of California,stewami01
3861,Norm Stewart,1957,1957,F,6-5,205,"January 20, 1935",University of Missouri,stewano01
3862,Greg Stiemsma,2012,2015,C,6-11,260,"September 26, 1985",University of Wisconsin,stiemgr01
3863,Steve Stipanovich,1984,1988,C,6-11,245,"November 17, 1960",University of Missouri,stipast01
3864,Bryant Stith,1993,2002,G,6-5,208,"December 10, 1970",University of Virginia,stithbr01
3865,Sam Stith,1962,1962,G,6-2,185,"July 22, 1937",St. Bonaventure University,stithsa01
3866,Tom Stith,1963,1963,F,6-5,210,"January 21, 1939",St. Bonaventure University,stithto01
3867,Alex Stivrins,1986,1993,F,6-8,220,"November 29, 1962",University of Colorado,stivral01
3868,David Stockton,2015,2015,G,5-11,165,"June 24, 1991",Gonzaga University,stockda01
3869,John Stockton,1985,2003,G,6-1,170,"March 26, 1962",Gonzaga University,stockjo01
3870,Peja Stojakovic,1999,2011,F-G,6-9,220,"June 9, 1977",,stojape01
3871,Ed Stokes,1998,1998,C,7-0,264,"September 3, 1971",University of Arizona,stokeed01
3872,Greg Stokes,1986,1990,F-C,6-10,220,"August 5, 1963",University of Iowa,stokegr01
3873,Jarnell Stokes,2015,2017,F-C,6-9,263,"January 7, 1994",University of Tennessee,stokeja01
3874,Maurice Stokes,1956,1958,F-C,6-7,232,"June 17, 1933",Saint Francis University,stokema01
3875,Art Stolkey,1947,1947,G,6-1,180,"October 23, 1920",University of Detroit Mercy,stolkar01
3876,Randy Stoll,1968,1968,C,6-7,235,,Washington State University,stollra01
3877,Diamond Stone,2017,2017,C,6-11,255,"February 10, 1997",University of Maryland,stonedi01
3878,George Stone,1969,1972,F,6-7,195,"February 9, 1946",Marshall University,stonege01
3879,Julyan Stone,2012,2018,G,6-6,200,"December 7, 1988",University of Texas at El Paso,stoneju01
3880,Awvee Storey,2005,2008,G-F,6-6,222,"April 18, 1977",Arizona State University,storeaw01
3881,Damon Stoudamire,1996,2008,G,5-10,171,"September 3, 1973",University of Arizona,stoudda01
3882,Salim Stoudamire,2006,2008,G,6-1,179,"October 11, 1982",University of Arizona,stoudsa01
